player_name,pitch_type,HB,IVB,usage,velo,pitches
"Buttó, José",ST,12.5626,-5.3439,0.0703,83.5597,77
"Cabrera, Edward",CH,-17.5012,4.4861,0.2575,94.246,580
"Cabrera, Edward",CU,10.9177,-10.9824,0.2358,84.0173,531
"Cabrera, Edward",FF,-10.9463,14.5816,0.1297,96.964,292
"Cabrera, Edward",SI,-17.2161,9.5541,0.2043,96.87,460
"Cabrera, Edward",SL,1.8713,2.1967,0.1727,88.4907,389
"Cabrera, Génesis",CU,-7.6904,-8.3413,0.1944,80.1331,139
"Cabrera, Génesis",FC,-0.2219,7.149,0.2042,89.937,146
"Cabrera, Génesis",FF,8.3919,16.6903,0.228,95.6896,163
"Cabrera, Génesis",FS,7.6671,8.2452,0.1301,85.0323,93
"Cabrera, Génesis",SI,15.3503,12.0455,0.2434,95.4115,174
"Cameron, Noah",CH,10.8466,11.2072,0.1858,81.2831,402
"Cameron, Noah",CU,-3.4345,-10.6978,0.1927,80.9125,417
"Cameron, Noah",FC,-3.7744,6.4349,0.2163,88.1543,468
"Cameron, Noah",FF,4.4745,16.8078,0.2639,92.3356,571
"Cameron, Noah",SL,-2.9576,-1.1565,0.1414,84.1422,306
"Canning, Griffin",CH,-14.9627,1.47,0.2323,89.4696,312
